pot.no,genotype,stake,treatment,nodes.6.10,br.6.10,analyze6.17,wetmass6.17,nodes6.17,branches6.17,flrs6.17,BCA.lf.wt.mass.6.17,HL.lf.wt.mass.6.17,Bates.lf.wt.mass.6.17,AGwt.mass.6.17,BCA.absorbance.6.18,AGdry.mass.6.21,spc,analyze7.1,nodes7.1,branches7.1,flrs7.1,drplvs7.1,BCA.beta.lf.wt.mass.7.1,Bates.lf.wt.mass.7.1,beta.stem.wt.mass.7.1,AGwt.mass.7.1,env.6.17,AGdry.mass.7.8,env.7.8
75,WI-9,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.75,1,5,8,18,0,160,157.7,175.3,15.1339,NA,4.938,3.831
76,WI-9,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.76,1,5,8,18,0,276.8,171.8,160.5,9.441,NA,4.427,3.809
78,WI-9,white,0 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.78,1,4,8,19,0,243.6,150.2,149.3,11.2466,NA,4.546,3.802
79,WI-9,white,0 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.79,1,6,9,16,0,243.7,145.8,166.3,,NA,4.548,3.78
8,WI-9,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.8,1,5,7,4,0,240.5,147.5,173.8,6.5472,NA,4.095,3.767
81,WI-9,white,0 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.81,1,4,8,19,0,257.4,180.4,159.4,12.3973,NA,4.651,3.796
82,WI-9,white,0 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.82,1,5,8,20,0,263.9,141.3,155.1,11.4945,NA,4.521,3.801
83,WI-9,white,0 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.83,1,4,8,22,0,253.9,151.6,151.6,13.7433,NA,4.807,3.13
84,WI-9,white,0 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.84,1,6,12,19,0,245.9,164.8,153.1,12.0641,NA,4.525,3.732
85,WI-9,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.85,1,5,10,20,0,253,150.7,171.2,12.115,NA,4.727,3.799
86,WI-9,white,0 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.86,1,5,9,19,0,237.8,150.4,160.3,11.6902,NA,4.625,3.785
87,WI-9,white,0 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.87,1,6,12,19,0,248.2,167,153.2,11.1807,NA,4.608,3.809
88,WI-9,white,0 mM NaCl,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.88,1,5,10,22,0,248.7,140,172.6,12.3862,NA,4.666,3.85
9,WI-9,red,200 mM NaCl,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,WI.9.9,1,5,8,2,0,254.3,140,160.4,5.602,NA,4.028,3.798
102,T-16,white,0 mM NaCl,3,0,1,0,6,0,0,168.3,162,148.6,5.1118,0.166,1.5893,T.16.102,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3986,NA,NA
104,T-16,white,0 mM NaCl,3,0,1,0,6,3,0,148.1,155,165.9,6.1289,NA,1.6302,T.16.104,0,NA,NA,NA,NA,NA,NA,NA,NA,1.3696,NA,NA
